Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player_links,BBrefID
Marlbert Pradd,1968,1969,G,6-3,170.0,"November 17, 1944",Dillard University,https://www.basketball-reference.com/players/p/praddma01.html,praddma01
Mike Pratt,1971,1972,G-F,6-4,195.0,"August 4, 1948",Kentucky,https://www.basketball-reference.com/players/p/prattmi01.html,prattmi01
Paul Pressey,1983,1993,G-F,6-5,185.0,"December 24, 1958",Tulsa,https://www.basketball-reference.com/players/p/presspa01.html,presspa01
Phil Pressey,2014,2016,G,5-11,175.0,"February 17, 1991",Missouri,https://www.basketball-reference.com/players/p/pressph01.html,pressph01
Dominic Pressley,1989,1989,G,6-2,170.0,"May 30, 1964",Boston College,https://www.basketball-reference.com/players/p/pressdo01.html,pressdo01
Harold Pressley,1987,1990,F-G,6-7,210.0,"July 14, 1963",Villanova,https://www.basketball-reference.com/players/p/pressha01.html,pressha01
Stephen Previs,1973,1973,G,6-3,183.0,"February 9, 1950",UNC,https://www.basketball-reference.com/players/p/previst01.html,previst01
A.J. Price,2010,2015,G,6-2,181.0,"October 7, 1986",UConn,https://www.basketball-reference.com/players/p/priceaj01.html,priceaj01
Brent Price,1993,2002,G,6-1,165.0,"December 9, 1968","South Carolina, Oklahoma",https://www.basketball-reference.com/players/p/pricebr01.html,pricebr01
Jim Price,1973,1979,G,6-3,195.0,"November 27, 1949",Louisville,https://www.basketball-reference.com/players/p/priceji01.html,priceji01
Mark Price,1987,1998,G,6-0,170.0,"February 15, 1964",Georgia Tech,https://www.basketball-reference.com/players/p/pricema01.html,pricema01
Mike Price,1971,1973,G,6-3,200.0,"September 11, 1948",Illinois,https://www.basketball-reference.com/players/p/pricemi01.html,pricemi01
Ronnie Price,2006,2017,G,6-2,190.0,"June 21, 1983","Nicholls State, Utah Valley",https://www.basketball-reference.com/players/p/pricero01.html,pricero01
Tony Price,1981,1981,G,6-6,190.0,"January 5, 1957",Penn,https://www.basketball-reference.com/players/p/priceto01.html,priceto01
Bob Priddy,1953,1953,F,6-3,190.0,"March 24, 1930",New Mexico State,https://www.basketball-reference.com/players/p/priddbo01.html,priddbo01
Pablo Prigioni,2013,2016,G,6-3,185.0,"May 17, 1977",,https://www.basketball-reference.com/players/p/prigipa01.html,prigipa01
Taurean Prince,2017,2020,F,6-7,218.0,"March 22, 1994",Baylor,https://www.basketball-reference.com/players/p/princta02.html,princta02
Tayshaun Prince,2003,2016,F,6-9,212.0,"February 28, 1980",Kentucky,https://www.basketball-reference.com/players/p/princta01.html,princta01
John Pritchard,1950,1950,C,6-9,220.0,"January 23, 1927",Drake University,https://www.basketball-reference.com/players/p/pritcjo01.html,pritcjo01
Kevin Pritchard,1991,1996,G,6-3,180.0,"July 17, 1967",Kansas,https://www.basketball-reference.com/players/p/pritcke01.html,pritcke01
Laron Profit,2000,2006,G-F,6-5,204.0,"August 5, 1977",Maryland,https://www.basketball-reference.com/players/p/profila01.html,profila01
Gabe Pruitt,2008,2009,G,6-4,170.0,"April 19, 1986",USC,https://www.basketball-reference.com/players/p/pruitga01.html,pruitga01
Joel Przybilla,2001,2013,C,7-1,255.0,"October 10, 1979",Minnesota,https://www.basketball-reference.com/players/p/przybjo01.html,przybjo01
Les Pugh,1949,1950,C-F,6-7,190.0,"September 18, 1922",Ohio State,https://www.basketball-reference.com/players/p/pughle01.html,pughle01
Roy Pugh,1949,1949,C-F,6-6,210.0,"October 16, 1922",SMU,https://www.basketball-reference.com/players/p/pughro01.html,pughro01
Anthony Pullard,1993,1993,F,6-10,245.0,"June 23, 1966",McNeese State University,https://www.basketball-reference.com/players/p/pullaan01.html,pullaan01
Jacob Pullen,2018,2018,G,6-1,200.0,"November 10, 1989",Kansas State,https://www.basketball-reference.com/players/p/pulleja01.html,pulleja01
Rodney Purvis,2018,2018,G,6-4,205.0,"February 14, 1994",UConn,https://www.basketball-reference.com/players/p/purviro01.html,purviro01
Don Putman,1947,1950,G,6-1,170.0,"November 13, 1922",Denver,https://www.basketball-reference.com/players/p/putnado01.html,putnado01
Zhou Qi,2018,2019,F-C,7-1,210.0,"January 16, 1996",,https://www.basketball-reference.com/players/q/qizh01.html,qizh01
Tim Quarterman,2017,2018,G,6-6,195.0,"October 27, 1994",LSU,https://www.basketball-reference.com/players/q/quartti01.html,quartti01
Bob Quick,1969,1972,F-G,6-5,215.0,"March 5, 1946",Xavier,https://www.basketball-reference.com/players/q/quickbo01.html,quickbo01
Chris Quinn,2007,2013,G,6-2,185.0,"September 27, 1983",Notre Dame,https://www.basketball-reference.com/players/q/quinnch01.html,quinnch01
Brian Quinnett,1990,1992,F,6-8,235.0,"May 30, 1966",Washington State,https://www.basketball-reference.com/players/q/quinnbr01.html,quinnbr01
Ivan Rabb,2018,2019,F,6-10,220.0,"February 4, 1997",California,https://www.basketball-reference.com/players/r/rabbiv01.html,rabbiv01
Luther Rackley,1970,1974,C,6-10,220.0,"June 11, 1946",Xavier,https://www.basketball-reference.com/players/r/rackllu01.html,rackllu01
Howie Rader,1949,1949,G-F,6-1,190.0,"March 29, 1921",Long Island University,https://www.basketball-reference.com/players/r/raderho01.html,raderho01
Mark Radford,1982,1983,G,6-4,190.0,"July 5, 1959",Oregon State,https://www.basketball-reference.com/players/r/radfoma01.html,radfoma01
Wayne Radford,1979,1979,G,6-3,205.0,"May 29, 1956",Indiana,https://www.basketball-reference.com/players/r/radfowa01.html,radfowa01
Dino Radja*,1994,1997,F-C,6-11,225.0,"April 24, 1967",,https://www.basketball-reference.com/players/r/radjadi01.html,radjadi01
Vladimir Radmanović,2002,2013,F,6-10,227.0,"November 19, 1980",,https://www.basketball-reference.com/players/r/radmavl01.html,radmavl01
Aleksandar Radojević,2000,2005,C,7-3,250.0,"August 8, 1976",Barton County Community College,https://www.basketball-reference.com/players/r/radojal01.html,radojal01
Frank Radovich,1962,1962,F,6-8,235.0,"March 3, 1938",Indiana,https://www.basketball-reference.com/players/r/radovfr01.html,radovfr01
Moe Radovich,1953,1953,G,6-0,160.0,"May 5, 1929",Wyoming,https://www.basketball-reference.com/players/r/radovmo01.html,radovmo01
Miroslav Raduljica,2014,2015,C,7-0,250.0,"January 5, 1988",,https://www.basketball-reference.com/players/r/radulmi01.html,radulmi01
Ray Radziszewski,1958,1958,F,6-5,210.0,"March 1, 1935",Saint Joseph's,https://www.basketball-reference.com/players/r/radzira01.html,radzira01
Ray Ragelis,1952,1952,F,6-4,205.0,"December 10, 1928",Northwestern,https://www.basketball-reference.com/players/r/ragelra01.html,ragelra01
Sherwin Raiken,1953,1953,G,6-2,185.0,"October 29, 1928",Villanova,https://www.basketball-reference.com/players/r/raikesh01.html,raikesh01
Ed Rains,1982,1983,F,6-7,190.0,"December 24, 1956",University of South Alabama,https://www.basketball-reference.com/players/r/rainsed01.html,rainsed01
Igor Rakočević,2003,2003,G,6-3,183.0,"March 29, 1978",,https://www.basketball-reference.com/players/r/rakocig01.html,rakocig01
Kurt Rambis,1982,1995,F,6-8,213.0,"February 25, 1958",Santa Clara,https://www.basketball-reference.com/players/r/rambiku01.html,rambiku01
Peter John Ramos,2005,2005,C,7-3,275.0,"May 13, 1985",,https://www.basketball-reference.com/players/r/ramospe01.html,ramospe01
Cal Ramsey,1960,1961,F,6-4,200.0,"July 13, 1937",NYU,https://www.basketball-reference.com/players/r/ramseca01.html,ramseca01
Frank Ramsey*,1955,1964,F-G,6-3,190.0,"July 13, 1931",Kentucky,https://www.basketball-reference.com/players/r/ramsefr01.html,ramsefr01
Ray Ramsey,1949,1949,G-F,6-2,165.0,"July 18, 1921",Bradley,https://www.basketball-reference.com/players/r/ramsera01.html,ramsera01
Mark Randall,1992,1995,F,6-8,235.0,"September 30, 1967",Kansas,https://www.basketball-reference.com/players/r/randama01.html,randama01
Chasson Randle,2017,2020,G,6-2,185.0,"February 5, 1993",Stanford,https://www.basketball-reference.com/players/r/randlch01.html,randlch01
Julius Randle,2015,2020,F-C,6-8,250.0,"November 29, 1994",Kentucky,https://www.basketball-reference.com/players/r/randlju01.html,randlju01
Anthony Randolph,2009,2014,F,6-10,205.0,"July 15, 1989",LSU,https://www.basketball-reference.com/players/r/randoan01.html,randoan01
Shavlik Randolph,2006,2015,F,6-10,240.0,"November 24, 1983",Duke,https://www.basketball-reference.com/players/r/randosh01.html,randosh01
Zach Randolph,2002,2018,F-C,6-9,250.0,"July 16, 1981",Michigan State,https://www.basketball-reference.com/players/r/randoza01.html,randoza01
Wally Rank,1981,1981,F-G,6-6,220.0,"March 1, 1958",San Jose State,https://www.basketball-reference.com/players/r/rankwa01.html,rankwa01
Kelvin Ransey,1981,1986,G,6-1,170.0,"May 3, 1958",Ohio State,https://www.basketball-reference.com/players/r/ranseke01.html,ranseke01
Sam Ranzino,1952,1952,G,6-1,185.0,"June 23, 1928",NC State,https://www.basketball-reference.com/players/r/ranzisa01.html,ranzisa01
Bobby Rascoe,1968,1970,G-F,6-4,205.0,"July 22, 1940",Western Kentucky,https://www.basketball-reference.com/players/r/rascobo01.html,rascobo01
Blair Rasmussen,1986,1993,C,7-0,250.0,"November 13, 1962",Oregon,https://www.basketball-reference.com/players/r/rasmubl01.html,rasmubl01
Xavier Rathan-Mayes,2018,2018,G,6-4,208.0,"April 29, 1994",Florida State,https://www.basketball-reference.com/players/r/rathaxa01.html,rathaxa01
George Ratkovicz,1950,1955,C-F,6-6,220.0,"November 13, 1922",,https://www.basketball-reference.com/players/r/ratkoge01.html,ratkoge01
Ed Ratleff,1974,1978,F-G,6-6,195.0,"March 29, 1950",Cal State Long Beach,https://www.basketball-reference.com/players/r/ratleed01.html,ratleed01
Mike Ratliff,1973,1974,C,6-10,230.0,"June 7, 1951",University of Wisconsin-Eau Claire,https://www.basketball-reference.com/players/r/ratlimi01.html,ratlimi01
Theo Ratliff,1996,2011,C-F,6-10,225.0,"April 17, 1973",Wyoming,https://www.basketball-reference.com/players/r/ratlith01.html,ratlith01
Andy Rautins,2011,2011,G,6-4,190.0,"November 2, 1986",Syracuse,https://www.basketball-reference.com/players/r/rautian01.html,rautian01
Leo Rautins,1984,1985,F,6-8,215.0,"March 20, 1960","Minnesota, Syracuse",https://www.basketball-reference.com/players/r/rautile01.html,rautile01
Allan Ray,2007,2007,G,6-2,190.0,"June 17, 1984",Villanova,https://www.basketball-reference.com/players/r/rayal01.html,rayal01
Clifford Ray,1972,1981,C,6-9,230.0,"January 21, 1949",Oklahoma,https://www.basketball-reference.com/players/r/raycl01.html,raycl01
Don Ray,1950,1950,F-C,6-5,190.0,"July 8, 1921",Western Kentucky,https://www.basketball-reference.com/players/r/raydo01.html,raydo01
James Ray,1981,1983,F,6-8,215.0,"July 27, 1957",Jacksonville University,https://www.basketball-reference.com/players/r/rayja01.html,rayja01
Jim Ray,1957,1960,G,6-1,180.0,"January 12, 1934",Toledo,https://www.basketball-reference.com/players/r/rayji01.html,rayji01
Jimmy Rayl,1968,1969,G,6-2,175.0,"June 21, 1941",Indiana,https://www.basketball-reference.com/players/r/raylji01.html,raylji01
Craig Raymond,1969,1973,C,6-11,235.0,"April 5, 1945",BYU,https://www.basketball-reference.com/players/r/raymocr01.html,raymocr01
Connie Rea,1954,1954,G-F,6-3,175.0,"January 27, 1931",Centenary (LA),https://www.basketball-reference.com/players/r/reaco01.html,reaco01
Joe Reaves,1974,1974,F,6-5,210.0,"May 27, 1950",Bethel College,https://www.basketball-reference.com/players/r/reavejo01.html,reavejo01
Josh Reaves,2020,2020,G,6-4,214.0,"June 4, 1997",Penn State,https://www.basketball-reference.com/players/r/reavejo02.html,reavejo02
Željko Rebrača,2002,2006,C,7-0,257.0,"April 9, 1972",,https://www.basketball-reference.com/players/r/rebraze01.html,rebraze01
Eldridge Recasner,1995,2002,G,6-3,190.0,"December 14, 1967",Washington,https://www.basketball-reference.com/players/r/recasel01.html,recasel01
Michael Redd,2001,2012,G,6-6,220.0,"August 24, 1979",Ohio State,https://www.basketball-reference.com/players/r/reddmi01.html,reddmi01
Cam Reddish,2020,2020,F,6-8,218.0,"September 1, 1999",Duke,https://www.basketball-reference.com/players/r/reddica01.html,reddica01
Frank Reddout,1954,1954,F,6-5,195.0,"March 4, 1931",Syracuse,https://www.basketball-reference.com/players/r/reddofr01.html,reddofr01
J.J. Redick,2007,2020,G,6-3,200.0,"June 24, 1984",Duke,https://www.basketball-reference.com/players/r/redicjj01.html,redicjj01
Marlon Redmond,1979,1980,G,6-6,188.0,"April 15, 1955",San Francisco,https://www.basketball-reference.com/players/r/redmoma01.html,redmoma01
Davon Reed,2018,2019,G,6-5,208.0,"June 11, 1995",Miami (FL),https://www.basketball-reference.com/players/r/reedda01.html,reedda01
Hub Reed,1959,1965,C-F,6-9,215.0,"October 4, 1936",Oklahoma City University,https://www.basketball-reference.com/players/r/reedhu01.html,reedhu01
Justin Reed,2005,2007,F,6-8,240.0,"January 16, 1982",Ole Miss,https://www.basketball-reference.com/players/r/reedju01.html,reedju01
Ron Reed,1966,1967,F,6-5,205.0,"November 2, 1942",Notre Dame,https://www.basketball-reference.com/players/r/reedro01.html,reedro01
Willie Reed,2016,2018,F-C,6-10,220.0,"May 16, 1990",Saint Louis,https://www.basketball-reference.com/players/r/reedwi02.html,reedwi02
Willis Reed*,1965,1974,C-F,6-9,235.0,"June 25, 1942",Grambling State University,https://www.basketball-reference.com/players/r/reedwi01.html,reedwi01
Bryant Reeves,1996,2001,C,7-0,275.0,"June 8, 1973",Oklahoma State,https://www.basketball-reference.com/players/r/reevebr01.html,reevebr01
Khalid Reeves,1995,2000,G,6-3,199.0,"July 15, 1972",Arizona,https://www.basketball-reference.com/players/r/reevekh01.html,reevekh01
Richie Regan,1956,1958,G,6-2,180.0,"November 30, 1930",Seton Hall,https://www.basketball-reference.com/players/r/reganri01.html,reganri01
Don Rehfeldt,1951,1952,F,6-7,210.0,"January 7, 1927",Wisconsin,https://www.basketball-reference.com/players/r/rehfedo01.html,rehfedo01
Billy Reid,1981,1981,G,6-5,190.0,"September 10, 1957","New Mexico, San Francisco",https://www.basketball-reference.com/players/r/reidbi01.html,reidbi01
Don Reid,1996,2003,F,6-8,250.0,"December 30, 1973",Georgetown,https://www.basketball-reference.com/players/r/reiddo01.html,reiddo01
J.R. Reid,1990,2001,F,6-9,247.0,"March 31, 1968",UNC,https://www.basketball-reference.com/players/r/reidjr01.html,reidjr01
Jim Reid,1968,1968,F,6-6,210.0,"August 3, 1945",Winston-Salem State,https://www.basketball-reference.com/players/r/reidji01.html,reidji01
Naz Reid,2020,2020,F,6-9,264.0,"August 26, 1999",LSU,https://www.basketball-reference.com/players/r/reidna01.html,reidna01
Robert Reid,1978,1991,F-G,6-8,205.0,"August 30, 1955",St. Mary's University,https://www.basketball-reference.com/players/r/reidro01.html,reidro01
Ryan Reid,2012,2012,F,6-8,232.0,"October 30, 1986",Florida State,https://www.basketball-reference.com/players/r/reidry01.html,reidry01
Jared Reiner,2005,2007,C,6-11,255.0,"April 8, 1982",Iowa,https://www.basketball-reference.com/players/r/reineja01.html,reineja01
Chick Reiser,1948,1950,G-F,5-11,165.0,"December 17, 1914",NYU,https://www.basketball-reference.com/players/r/reisech01.html,reisech01
Richard Rellford,1988,1988,F,6-6,230.0,"February 16, 1964",Michigan,https://www.basketball-reference.com/players/r/rellfri01.html,rellfri01
Terrence Rencher,1996,1996,G,6-3,185.0,"February 19, 1973",Texas,https://www.basketball-reference.com/players/r/renchte01.html,renchte01
John Rennicke,1952,1952,G,6-2,185.0,"August 11, 1929",Drake University,https://www.basketball-reference.com/players/r/rennijo01.html,rennijo01
Bob Rensberger,1947,1947,F,6-2,170.0,"March 7, 1921",Notre Dame,https://www.basketball-reference.com/players/r/rensbro01.html,rensbro01
Efthimi Rentzias,2003,2003,C,6-11,250.0,"January 11, 1976",,https://www.basketball-reference.com/players/r/rentzef01.html,rentzef01
Shawn Respert,1996,1999,G,6-1,195.0,"February 6, 1972",Michigan State,https://www.basketball-reference.com/players/r/respesh01.html,respesh01
Kevin Restani,1975,1982,F-C,6-9,225.0,"December 23, 1951",San Francisco,https://www.basketball-reference.com/players/r/restake01.html,restake01
Cameron Reynolds,2019,2019,G,6-7,225.0,"February 7, 1995",Tulane,https://www.basketball-reference.com/players/r/reynoca01.html,reynoca01
George Reynolds,1970,1970,G,6-4,195.0,"November 23, 1947",Houston,https://www.basketball-reference.com/players/r/reynoge01.html,reynoge01
Jerry Reynolds,1986,1996,G-F,6-8,200.0,"December 23, 1962",LSU,https://www.basketball-reference.com/players/r/reynoje01.html,reynoje01
Kendall Rhine,1968,1969,C,6-10,230.0,"February 13, 1943",Rice University,https://www.basketball-reference.com/players/r/rhineke01.html,rhineke01
Gene Rhodes,1953,1953,G,6-1,170.0,"September 2, 1927",Western Kentucky,https://www.basketball-reference.com/players/r/rhodege01.html,rhodege01
Rodrick Rhodes,1998,2000,G-F,6-6,225.0,"September 24, 1973","Kentucky, USC",https://www.basketball-reference.com/players/r/rhodero01.html,rhodero01
Glen Rice,1990,2004,F,6-7,215.0,"May 28, 1967",Michigan,https://www.basketball-reference.com/players/r/ricegl01.html,ricegl01
Glen Rice,2014,2015,G,6-6,206.0,"January 1, 1991",Georgia Tech,https://www.basketball-reference.com/players/r/ricegl02.html,ricegl02
Chris Richard,2008,2010,F,6-9,270.0,"December 25, 1984",Florida,https://www.basketball-reference.com/players/r/richach01.html,richach01
Clint Richardson,1980,1987,G,6-3,195.0,"August 7, 1956",Seattle University,https://www.basketball-reference.com/players/r/richacl01.html,richacl01
Jason Richardson,2002,2015,G,6-6,220.0,"January 20, 1981",Michigan State,https://www.basketball-reference.com/players/r/richaja01.html,richaja01
Jeremy Richardson,2007,2009,G-F,6-6,185.0,"February 11, 1984",Delta State University,https://www.basketball-reference.com/players/r/richaje01.html,richaje01
Josh Richardson,2016,2020,G,6-5,200.0,"September 15, 1993",Tennessee,https://www.basketball-reference.com/players/r/richajo01.html,richajo01
Malachi Richardson,2017,2019,G,6-6,205.0,"January 5, 1996",Syracuse,https://www.basketball-reference.com/players/r/richama01.html,richama01
Micheal Ray Richardson,1979,1986,G-F,6-5,189.0,"April 11, 1955",Montana,https://www.basketball-reference.com/players/r/richami01.html,richami01
Norm Richardson,2002,2002,G,6-5,190.0,"July 24, 1979",Hofstra,https://www.basketball-reference.com/players/r/richano01.html,richano01
Pooh Richardson,1990,1999,G,6-1,180.0,"May 14, 1966",UCLA,https://www.basketball-reference.com/players/r/richapo01.html,richapo01
Quentin Richardson,2001,2013,G,6-6,223.0,"April 13, 1980",DePaul,https://www.basketball-reference.com/players/r/richaqu01.html,richaqu01
Mitch Richmond*,1989,2002,G,6-5,215.0,"June 30, 1965",Kansas State,https://www.basketball-reference.com/players/r/richmmi01.html,richmmi01
John Richter,1960,1960,F,6-9,225.0,"March 12, 1937",NC State,https://www.basketball-reference.com/players/r/richtjo01.html,richtjo01
Dick Ricketts,1956,1958,F-C,6-7,215.0,"December 4, 1933",Duquesne,https://www.basketball-reference.com/players/r/rickedi01.html,rickedi01
Isaiah Rider,1994,2002,G,6-5,215.0,"March 12, 1971",UNLV,https://www.basketball-reference.com/players/r/rideris01.html,rideris01
Jackie Ridgle,1972,1972,G,6-4,195.0,"February 13, 1948",California,https://www.basketball-reference.com/players/r/ridglja01.html,ridglja01
Luke Ridnour,2004,2015,G,6-2,175.0,"February 13, 1981",Oregon,https://www.basketball-reference.com/players/r/ridnolu01.html,ridnolu01
Mel Riebe,1947,1949,G-F,5-11,180.0,"July 12, 1916",College of Wooster,https://www.basketball-reference.com/players/r/riebeme01.html,riebeme01
Bob Riedy,1968,1968,F,6-6,215.0,"August 26, 1945",Duke,https://www.basketball-reference.com/players/r/riedybo01.html,riedybo01
Jim Riffey,1951,1951,F,6-4,200.0,"December 14, 1923",Tulane,https://www.basketball-reference.com/players/r/riffeji01.html,riffeji01
Antoine Rigaudeau,2003,2003,G,6-7,210.0,"December 17, 1971",,https://www.basketball-reference.com/players/r/rigauan01.html,rigauan01
Tom Riker,1973,1975,C-F,6-10,225.0,"February 28, 1950",South Carolina,https://www.basketball-reference.com/players/r/rikerto01.html,rikerto01
Bob Riley,1971,1971,F,6-9,235.0,"July 6, 1948",Mount St. Mary's University,https://www.basketball-reference.com/players/r/rileybo01.html,rileybo01
Eric Riley,1994,1999,C,7-0,245.0,"June 2, 1970",Michigan,https://www.basketball-reference.com/players/r/rileyer01.html,rileyer01
Pat Riley*,1968,1976,G-F,6-4,205.0,"March 20, 1945",Kentucky,https://www.basketball-reference.com/players/r/rileypa01.html,rileypa01
Ron Riley,1973,1976,F,6-8,195.0,"November 11, 1950",USC,https://www.basketball-reference.com/players/r/rileyro01.html,rileyro01
Rich Rinaldi,1972,1974,G,6-3,195.0,"August 3, 1949",Saint Peter's College,https://www.basketball-reference.com/players/r/rinalri01.html,rinalri01
Mike Riordan,1969,1977,G-F,6-4,200.0,"July 9, 1945",Providence,https://www.basketball-reference.com/players/r/riordmi01.html,riordmi01
Arnie Risen*,1949,1958,C-F,6-9,200.0,"October 9, 1924",Ohio State,https://www.basketball-reference.com/players/r/risenar01.html,risenar01
Tex Ritter,1949,1951,G-F,6-2,185.0,"February 26, 1924",Eastern Kentucky University,https://www.basketball-reference.com/players/r/rittete01.html,rittete01
Ramón Rivas,1989,1989,F-C,6-10,260.0,"June 3, 1966",Temple,https://www.basketball-reference.com/players/r/rivasra01.html,rivasra01
Austin Rivers,2013,2020,G,6-3,200.0,"August 1, 1992",Duke,https://www.basketball-reference.com/players/r/riverau01.html,riverau01
David Rivers,1989,1992,G,6-0,170.0,"January 20, 1965",Notre Dame,https://www.basketball-reference.com/players/r/riverda01.html,riverda01
Doc Rivers,1984,1996,G,6-4,185.0,"October 13, 1961",Marquette,https://www.basketball-reference.com/players/r/riverdo01.html,riverdo01
Lee Robbins,1948,1949,F,6-3,175.0,"February 11, 1922",Colorado,https://www.basketball-reference.com/players/r/robbile01.html,robbile01
Red Robbins,1968,1975,F-C,6-8,190.0,"September 30, 1944",Tennessee,https://www.basketball-reference.com/players/r/robbire01.html,robbire01
Andre Roberson,2014,2020,G-F,6-7,210.0,"December 4, 1991",Colorado,https://www.basketball-reference.com/players/r/roberan03.html,roberan03
Anthony Roberson,2006,2009,G,6-2,180.0,"February 14, 1983",Florida,https://www.basketball-reference.com/players/r/roberan02.html,roberan02
Rick Roberson,1970,1976,C-F,6-9,231.0,"July 7, 1947",Cincinnati,https://www.basketball-reference.com/players/r/roberri01.html,roberri01
Terrance Roberson,2001,2001,F,6-7,215.0,"December 30, 1976",Fresno State,https://www.basketball-reference.com/players/r/roberte01.html,roberte01
Anthony Roberts,1978,1984,F-G,6-5,185.0,"April 15, 1955",Oral Roberts,https://www.basketball-reference.com/players/r/roberan01.html,roberan01
Bill Roberts,1949,1950,C,6-9,210.0,"March 13, 1925",Wyoming,https://www.basketball-reference.com/players/r/roberbi01.html,roberbi01
Brian Roberts,2013,2017,G,6-1,173.0,"December 3, 1985",Dayton,https://www.basketball-reference.com/players/r/roberbr01.html,roberbr01
Fred Roberts,1984,1997,F-C,6-10,218.0,"August 14, 1960",BYU,https://www.basketball-reference.com/players/r/roberfr01.html,roberfr01
Joe Roberts,1961,1968,F,6-6,214.0,"May 18, 1936",Ohio State,https://www.basketball-reference.com/players/r/roberjo01.html,roberjo01
Lawrence Roberts,2006,2007,F,6-9,240.0,"October 20, 1982","Baylor, Mississippi State",https://www.basketball-reference.com/players/r/roberla01.html,roberla01
Marv Roberts,1972,1977,F-C,6-8,200.0,"January 29, 1950",Utah State University,https://www.basketball-reference.com/players/r/roberma01.html,roberma01
Stanley Roberts,1992,2000,C,7-0,285.0,"February 7, 1970",LSU,https://www.basketball-reference.com/players/r/roberst01.html,roberst01
Alvin Robertson,1985,1996,G,6-3,185.0,"July 22, 1962",Arkansas,https://www.basketball-reference.com/players/r/roberal01.html,roberal01
Oscar Robertson*,1961,1974,G-F,6-5,205.0,"November 24, 1938",Cincinnati,https://www.basketball-reference.com/players/r/roberos01.html,roberos01
Ryan Robertson,2000,2000,G,6-5,190.0,"October 2, 1976",Kansas,https://www.basketball-reference.com/players/r/roberry01.html,roberry01
Tony Robertson,1978,1979,G,6-4,195.0,"January 1, 1956",West Virginia,https://www.basketball-reference.com/players/r/roberto01.html,roberto01
Rick Robey,1979,1986,C-F,6-11,230.0,"January 30, 1956",Kentucky,https://www.basketball-reference.com/players/r/robeyri01.html,robeyri01
Bernard Robinson,2005,2007,G-F,6-6,210.0,"December 26, 1980",Michigan,https://www.basketball-reference.com/players/r/robinbe01.html,robinbe01
Chris Robinson,1997,1998,G,6-5,200.0,"April 2, 1974",Western Kentucky,https://www.basketball-reference.com/players/r/robinch01.html,robinch01
Cliff Robinson,1980,1992,F,6-9,220.0,"March 13, 1960",USC,https://www.basketball-reference.com/players/r/robincl01.html,robincl01
Clifford Robinson,1990,2007,F-C,6-10,225.0,"December 16, 1966",UConn,https://www.basketball-reference.com/players/r/robincl02.html,robincl02
David Robinson*,1990,2003,C,7-1,235.0,"August 6, 1965",United States Naval Academy,https://www.basketball-reference.com/players/r/robinda01.html,robinda01
Devin Robinson,2018,2019,F,6-8,200.0,"March 7, 1995",Florida,https://www.basketball-reference.com/players/r/robinde01.html,robinde01
Duncan Robinson,2019,2020,G-F,6-7,215.0,"April 22, 1994","Williams, Michigan",https://www.basketball-reference.com/players/r/robindu01.html,robindu01
Eddie Robinson,2000,2004,G-F,6-8,210.0,"April 19, 1976",University of Central Oklahoma,https://www.basketball-reference.com/players/r/robined01.html,robined01
Flynn Robinson,1967,1974,G,6-1,185.0,"April 28, 1941",Wyoming,https://www.basketball-reference.com/players/r/robinfl01.html,robinfl01
Glenn Robinson,1995,2005,F,6-7,225.0,"January 10, 1973",Purdue,https://www.basketball-reference.com/players/r/robingl01.html,robingl01
Glenn Robinson,2015,2020,G-F,6-6,222.0,"January 8, 1994",Michigan,https://www.basketball-reference.com/players/r/robingl02.html,robingl02
Jackie Robinson,1979,1982,F,6-6,210.0,"May 20, 1955",UNLV,https://www.basketball-reference.com/players/r/robinja01.html,robinja01
Jamal Robinson,2001,2001,F,6-7,212.0,"December 27, 1973",Virginia,https://www.basketball-reference.com/players/r/robinja03.html,robinja03
James Robinson,1994,2001,G,6-2,180.0,"August 31, 1970",Alabama,https://www.basketball-reference.com/players/r/robinja02.html,robinja02
Jerome Robinson,2019,2020,G,6-4,190.0,"February 22, 1997",Boston College,https://www.basketball-reference.com/players/r/robinje01.html,robinje01
Justin Robinson,2020,2020,G,6-1,195.0,"October 12, 1997",Virginia Tech,https://www.basketball-reference.com/players/r/robinju01.html,robinju01
Larry Robinson,1991,2002,F-G,6-3,180.0,"January 11, 1968",Centenary (LA),https://www.basketball-reference.com/players/r/robinla01.html,robinla01
Mitchell Robinson,2019,2020,C,7-0,240.0,"April 1, 1998",Western Kentucky,https://www.basketball-reference.com/players/r/robinmi01.html,robinmi01
Nate Robinson,2006,2016,G,5-9,180.0,"May 31, 1984",Washington,https://www.basketball-reference.com/players/r/robinna01.html,robinna01
Oliver Robinson,1983,1983,G,6-4,180.0,"March 13, 1960",UAB,https://www.basketball-reference.com/players/r/robinol01.html,robinol01
Ronnie Robinson,1974,1975,F,6-8,200.0,"March 9, 1951",Memphis,https://www.basketball-reference.com/players/r/robinro01.html,robinro01
Rumeal Robinson,1991,1997,G,6-2,195.0,"November 13, 1966",Michigan,https://www.basketball-reference.com/players/r/robinru01.html,robinru01
Samuel Robinson,1971,1972,F,6-7,190.0,"January 1, 1948",Cal State Long Beach,https://www.basketball-reference.com/players/r/robinsa01.html,robinsa01
Thomas Robinson,2013,2017,F,6-10,237.0,"March 17, 1991",Kansas,https://www.basketball-reference.com/players/r/robinth01.html,robinth01
